user_id,user_location,traveler_type,review_title,review_date,review_score,review
Homer069,Bristol,Families,Awful..........(huge rip off!!!)........,"March 31, 2018",1,".........We paid extra for a timed slot, we arrived a few minutes early and were told to join a long queue, our timed slot meant nothing!!!
It was chaos, the security on the doors were idiots and were randomly letting people through and allowing queue...More"
Mark_Budapest_3,"Budapest, Hungary",Families,"Terrible trip, worst in New York","November 22, 2017",1,"This was an example of how to screw up a potentially great trip. The queuing was terrible and it just irritated everyone.
The video presentations were boring and without substance. The biggest mistake we made in New York. The Empire State
is vastly superior"
MacklinHerefordshire,Herefordshire,Families,Rip off with horrendously rude security staff,"October 22, 2017",1,"Not impressed with the horrendously rude security staff who obviously were trained at the TSA School of Customer Care.
Nice views, but expensive."
phoenix100,california,Families,Don't waist you money booking through Viator!,"August 7, 2017",1,"When purchasing Viator tickets you are only getting a voucher to redeem for tickets.
We went to Top of the Rock 3 times to redeem the vouchers to go to the top. All three times we were told they were sold out and there was...More"
robmx,,Families,Didn't go up- too expensive,"July 24, 2017",1,"$37/ per adult to go up!! A bit steep!!!
Too much for my family of 5!
Didn't go up!!
Some people had $10 coupons... wished I had one!!!
To be fair ... I heard it was great though."
Sarah A,Essex UK,Families,Top of the rock..Bottom of my list! ,"July 5, 2017",1,"Appalling is a word I'd use. Over crowded, 3 deep at the glass trying to take pictures.. no one controlling those with tripods( which apparently aren't allowed) who are there time lapsing the sunset so are taking up a prime position for over an hour....More"
saskchick86,"Edmonton, Canada",Families,I wasn't impressed,"June 2, 2017",1,Although the views were wonderful I was totally disappointed. After standing in line for over an hour after using our City Pass to get a priority entrance time (!!!) we got up to the observation deck and it was beyond crowded. I am unsure how...More
Lan Z,Sydney,Families,Missed out on seeing this due to ticket lady giving me wrong information,"May 17, 2017",1,"I visited the building and went up to get access to the observation deck using my New York pass.
The woman at desk scanned our cards and asked us for $30+ each. We thought our cards included access and she confused us.
Turns out we...More"
Oscar M,"Milan, Italy",Families,A place to avoid,"April 28, 2017",1,"Despite a theoretical fast track provided by our City Pass, queues were desperatly long. What was worse is that when we finally got to the ticket desk (having entrance already paid!!) we were told that we couldn't enter elevators before one hour. You can immagine...More"
lucianam189,"New York City, New York",Families,Don't waste your money,"April 17, 2017",1,It cost $148 for 4 of us (2 kids) to go up and battle the crowds because they pack you in like sardines. Rude staff started from the entrance where front person was rude and clearly not wanting to be there. After finally getting inside...More
